HUMAN	AA	HA	HB	HC	HD	HE	HF	VA	VD	VF	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5
Bifidobacterium breve	a16	0.14662 	0.33337 	0.43271 	0.23192 	-0.46344 	0.19381 	-0.25278 	-0.17271 	-0.79949 	0.793892848	2.566960184	-0.710184549	0.793892848	-0.710184549	-0.304719441	-1.40333173	0.899253363	2.123028795	-1.40333173	1.592400544	-0.710184549	-0.710184549	0.542578419	2.030655475	0.793892848	-0.710184549	1.541107249	-0.710184549	0.793892848	-0.710184549	0.899253363	1.854764808	-0.304719441	-0.017037369	-0.710184549	-0.304719441	0.206106183	-0.017037369	0.206106183	-0.710184549	-0.304719441	-1.40333173	-0.304719441	-0.710184549	-0.017037369	0.676109812	-0.710184549	0.542578419	1.369256993	0.206106183	-0.710184549	-0.447820285	-0.527862992	1.324521099	-1.30802155	-0.304719441	-1.508692245	-0.570422607	0.858431369	-0.447820285	0.804942684	-1.914157353	-0.661394385	-0.487040998	-0.447820285	-0.487040998
Bifidobacterium catenulatum	a17	0.01330 	0.45589 	0.70660 	-0.06830 	-0.61516 	0.16486 	0.29172 	-0.04174 	-1.17004 	1.559617072	4.60413951	-0.455285949	-1.148433129	0.64332634	0.64332634	-5.753603315	2.070442696	4.154871779	-1.148433129	-1.148433129	0.461004783	-0.04982084	-1.148433129	3.246016026	2.515128517	-1.148433129	-0.455285949	-0.04982084	1.987061087	-1.148433129	1.684780215	3.907812676	-0.04982084	-1.148433129	-0.04982084	0.931008413	-5.753603315	1.79600585	1.942609324	-1.148433129	-1.148433129	-0.455285949	0.461004783	-5.753603315	1.79600585	2.821858784	-0.455285949	-1.148433129	2.962440735	0.931008413	-5.753603315	-1.148433129	-0.118813712	2.550396656	-2.352405933	2.527867543	-1.253793645	-0.617804878	3.126843136	-1.148433129	-0.315524006	-1.659258753	-0.617804878	-1.37157668	-1.84158031	-0.359975769
Bifidobacterium longum	a18	0.71416 	0.50617 	1.05411 	0.46437 	-0.39084 	0.53858 	-0.95994 	-1.20520 	-1.87602 	2.448664333	2.335109634	0.549659334	1.469716549	0.013354625	1.603247941	-3.42063258	2.511612608	1.528127311	-1.474722431	2.869082991	-0.124795714	0.268246874	-2.034338219	3.965838269	0.242929066	0.738250504	2.328760406	-0.05333675	2.883816223	-2.727485399	2.6930496	1.261498647	1.535194478	-0.329590126	-0.424900306	1.242806514	-2.727485399	1.415649327	0.045103323	0.190285333	-0.329590126	-1.223408002	0.586700606	-3.42063258	1.506621105	-0.285138364	0.530611139	0.317037039	2.565819426	1.862571149	-2.727485399	-0.395341504	-1.916555183	2.298038507	-3.3253224	-1.460537796	-1.852016662	-2.196857148	0.96886607	-2.226710111	-0.719271367	-3.158268315	-2.355921843	-2.587723457	0.026175313	-1.304377065
Bifidobacterium pseudocatenulatum	a19	0.14292 	0.41463 	0.78894 	0.70571 	-1.32981 	0.90793 	-0.08226 	-0.50994 	-1.69027 	2.747632994	5.325954088	-0.065777723	-2.550684373	1.638970369	1.06023354	-7.155854559	3.251434003	4.854811291	-1.857537192	-2.550684373	1.361338633	0.393754607	-2.550684373	4.480173104	3.217636623	-0.604774224	-2.550684373	0.945823189	2.585114064	-2.550684373	2.874265645	4.625570159	0.157365829	-2.550684373	0.945823189	1.438299674	-2.550684373	2.974768567	2.631099178	-1.164390011	-7.155854559	0.22190435	0.339687385	-7.155854559	2.958703964	3.475181601	-0.065777723	-2.550684373	3.950605298	1.138195082	-2.550684373	-1.857537192	-1.452072084	3.546715525	-4.160122285	3.511704513	-1.09206935	-1.857537192	4.289327254	-1.808747028	-2.080680743	-1.675215635	-0.961449167	-2.773827924	-3.243831553	0.20297634
MOUSE	AA	MA	MB	MC	MD	ME	MF	YA	YD	YF	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5						
Bacteroides caccae	a01	-0.73336 	-0.57754 	0.32219 	0.98376 	0.71341 	0.44247 	-0.53605 	-0.79935 	-0.81812 	-0.752783763	-1.058165413	-0.806850984	-0.701490469	-0.519168912	-0.561728526	-0.478346917	-0.701490469	-0.296025361	-0.519168912	-0.606180289	-0.864009398	-0.561728526	-0.92463402	1.87493129	2.080429581	-0.365018232	-0.170862218	-0.806850984	-0.806850984	1.989752614	2.036118535	1.745194968	1.745194968	-0.329926912	-0.864009398	1.696404804	1.682674611	1.038975706	1.056367449	-0.401385876	-0.296025361	0.780114072	0.937506246	0.877488236	0.757124554	-0.606180289	-0.701490469	-0.365018232	-0.606180289	-0.401385876	-0.806850984	-0.745428514	-0.606180289	-0.652700304	-1.18557918	-0.806850984	-0.652700304	-0.652700304	-0.989172541	-0.989172541						
Bacteroides caecimuris	a02	-0.69701 	-0.71929 	0.12658 	0.95161 	0.75552 	0.46896 	-0.45944 	-0.23488 	-0.69219 	-0.748165412	-1.067935799	-0.52291881	-0.565843855	-0.638603209	-0.638603209	-0.727331325	-0.791182797	-0.592512102	-0.791182797	-0.565843855	-0.847695007	-0.592512102	-1.053547062	1.820824355	2.042030547	-0.780253727	-0.67706949	-0.920015669	-0.67706949	1.937890288	1.986885391	1.692807682	1.689134584	-0.30483003	-0.489857948	1.709171684	1.65450314	0.974601186	0.989526836	-0.298095998	-0.065600341	0.768695424	0.900493214	0.813849822	0.694409785	-0.67706949	-0.667313315	-0.166243867	-0.481760738	-0.30483003	-0.657651404	-0.807205279	-0.434507853	-0.442229899	1.167208013	-0.971308963	-0.638603209	-0.42684498	-0.727331325	-0.696872118						
Bacteroides cellulosilyticus	a03	-0.18261 	-0.10902 	0.12108 	0.29325 	0.19815 	-0.16609 	0.02454 	0.00127 	-0.21151 	-0.171043006	-0.507515243	-0.171043006	-0.171043006	-0.037511613	-0.037511613	0.023113009	-0.171043006	0.023113009	-0.102050134	-0.102050134	-0.325193686	0.023113009	-0.325193686	0.367953495	0.557195494	0.023113009	0.080271422	-0.325193686	-0.245150978	0.827485824	0.686407226	0.367953495	0.447996203	0.234422102	-0.171043006	0.522104175	0.557195494	0.023113009	0.023113009	-0.612875758	-0.864190186	0.080271422	0.185631938	0.134338644	0.080271422	-0.037511613	-0.171043006	0.234422102	-0.037511613	0.134338644	-0.245150978	0.185631938	0.023113009	-0.037511613	0.080271422	-0.245150978	-0.037511613	-0.037511613	-0.325193686	-0.412205063						
Bacteroides dorei	a04	-0.90552 	-0.82080 	-0.00963 	1.19279 	1.18974 	1.21402 	-0.66973 	-0.60129 	-0.96170 	-0.909393542	-1.211674414	-0.909393542	-0.866833927	-0.749050892	-0.78679122	-0.677591928	-0.866833927	-0.677591928	-0.78679122	-0.866833927	-1.049155484	-0.677591928	-1.00036532	1.233226902	1.675424019	-0.677591928	-0.610900553	-1.00036532	-0.953845304	2.671707016	2.363641033	1.890006438	2.18559369	-0.489539696	-0.866833927	2.120530097	2.400832062	2.009551589	1.963925428	0.159804862	-1.559981108	2.133056356	2.252221562	2.15155637	2.147474732	-0.712683248	-0.866833927	-0.433969845	-0.78679122	-0.548380196	-0.909393542	0.189218747	-0.712683248	-0.78679122	-0.78679122	-0.909393542	-0.677591928	-0.909393542	-1.211674414	-1.100448779						
Bacteroides fragilis	a05	-0.05281 	0.02074 	0.05734 	0.13282 	0.08784 	-0.25122 	0.13604 	0.02277 	0.00157 	-0.087324505	-0.385036752	-0.040532343	0.015037508	0.092999049	0.087986508	0.165319711	-0.034834322	0.179176746	-0.006821286	0.00961744	-0.18803848	0.107887662	-0.256558427	0.062539842	0.275320606	0.046955111	0.107887662	-0.168365715	-0.136414115	0.514993459	0.374411509	0.046955111	0.165319711	0.363026187	-0.040532343	0.241419054	0.300013219	-0.15546231	-0.181437796	-0.620350839	-0.610198467	-0.087324505	0.00961744	-0.081354338	-0.117721982	0.067681241	-0.05782384	0.335945228	0.092999049	0.241419054	-0.075419602	0.155973848	0.046955111	0.067681241	-0.081354338	-0.142723284	-0.00131163	0.052177055	-0.285337391	0.385036752						
