Sample_ID	Model	Time_point	Host_ID	Group	Sequencing
YA2	Mouse	Baseline	M08	Placebo	Metagenomic Sequencing
YA3	Mouse	Baseline	M09	Placebo	Metagenomic Sequencing
YA4	Mouse	Baseline	M10	Placebo	Metagenomic Sequencing
YA5	Mouse	Baseline	M11	Placebo	Metagenomic Sequencing
YD1	Mouse	Day 14	M07	Placebo	Metagenomic Sequencing
YD2	Mouse	Day 14	M08	Placebo	Metagenomic Sequencing
YD3	Mouse	Day 14	M09	Placebo	Metagenomic Sequencing
YD4	Mouse	Day 14	M10	Placebo	Metagenomic Sequencing
YD5	Mouse	Day 14	M11	Placebo	Metagenomic Sequencing
YF1	Mouse	Day 28	M07	Placebo	Metagenomic Sequencing
YF2	Mouse	Day 28	M08	Placebo	Metagenomic Sequencing
YF3	Mouse	Day 28	M09	Placebo	Metagenomic Sequencing
YF4	Mouse	Day 28	M10	Placebo	Metagenomic Sequencing
YF5	Mouse	Day 28	M11	Placebo	Metagenomic Sequencing
