	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HD7	1	1	1	1	1	1	1	0.445054945	0.895781638	0.725631769	0.413276231	0.510638298	0.399433428	0.044585987	0.845614035	0.984654731	0.702702703	0.327823691	0.566386555	0.59252669	0.144254279	0.640151515	0.896039604	0.608974359	0.563380282	0.529880478	0.440414508	0	0.615658363	0.935162095	0.661016949	0.577427822	0.543396226	0.486746988	0.19395466	0.644194757	0.933085502	0.6	0.395348837	0.580594679	0.549266247	0.089655172	1	1	1	1	1	1	0.537604457	0.654501217	0.631027254	0.730994152	0.637795276	0.607629428	0.610223642	0.790262172	0.823905558	0.828465461	0.604221636	0.573099415	0.640378549	0.643031785	0.880928355	0.84557596	0.694915254	0.823668081	0.630901288	0.648093842	0.78170347	0.802728227	0.543604651	0.51342812	0.67961165	0.795246801	0.833625219	0.778611632	0.772693727	0.834915997	1	1	1	1	1	0.863636364	0.86259542	0.949579832	0.991489362	0.825757576	0.869090909	0.835526316	0.859778598	0.844660194	0.800643087	1	1	1	1	1	0.859375	0.89516129	0.889328063	0.85770751	0.852140078	0.828125	0.864541833	0.911290323	0.803773585	0.815384615
HE1	1	1	1	1	1	1	1	0.482758621	0.949227373	0.840848806	0.410934744	0.866666667	0.501240695	0.621716287	0.838961039	0.988662132	0.828282828	0.701943844	0.850359712	0.576797386	0.642436149	0.057324841	0.949339207	0.839805825	0.244444444	0.863787375	0.520642202	0.615658363	0	0.964523282	0.807594937	0.285382831	0.86031746	0.486021505	0.613682093	0.044164038	0.953693495	0.833333333	0.644144144	0.845737483	0.5028463	0.607476636	1	1	1	1	1	1	0.816993464	0.909980431	0.819757366	0.898858075	0.866943867	0.888650964	0.878934625	0.929155313	0.703703704	0.719096145	0.858037578	0.864253394	0.908872902	0.905697446	0.79824276	0.74599359	0.574309186	0.722647456	0.819787986	0.931972789	0.635608309	0.744765703	0.680203046	0.667121419	0.9296875	0.941267388	0.919484702	0.845791642	0.870790378	0.911504425	1	1	1	1	1	0.945054945	0.939226519	0.982248521	0.988059701	0.923076923	0.946666667	0.945544554	0.946091644	0.946210269	0.931873479	1	1	1	1	1	0.988764045	0.988505747	0.988668555	0.988668555	0.988795518	0.988764045	0.988603989	0.988505747	0.989041096	0.988888889
HE2	1	1	1	1	1	1	1	0.948863636	0.029668412	0.94165316	0.960346964	0.960493827	0.948374761	0.935881628	0.8912	0.017825312	0.946540881	0.965860597	0.963636364	0.75	0.930574099	0.98156682	0.027874564	0.938650307	0.977142857	0.959619952	0.95323741	0.935162095	0.964523282	0	0.955905512	0.978221416	0.965517241	0.955555556	0.929443691	0.988558352	0.02005231	0.951515152	0.964912281	0.957099081	0.85316847	0.932903226	1	1	1	1	1	1	0.982832618	0.952063915	0.973072215	0.971864009	0.980582524	0.949080622	0.981623277	0.953871499	0.98145807	0.979975971	0.977746871	0.979472141	0.96347032	0.951935915	0.990341081	0.980994152	0.967067764	0.978870378	0.987593052	0.953010279	0.98025974	0.978628673	0.955252918	0.963001028	0.960106383	0.972942503	0.974358974	0.977307891	0.974041298	0.97893505	1	1	1	1	1	0.937086093	0.933554817	0.993079585	0.989565217	0.960264901	0.957723577	0.940993789	0.963993453	0.953775039	0.953917051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HE3	1	1	1	1	1	1	1	0.675126904	0.909233177	0.454545455	0.893333333	0.630363036	0.773654917	0.703947368	0.542372881	1	0.364341085	0.836734694	0.738317757	0.882967607	0.595041322	0.850415512	0.909516381	0.282758621	0.900552486	0.665671642	0.795041322	0.661016949	0.807594937	0.955905512	0	0.919327731	0.669421488	0.812971342	0.556521739	0.874659401	0.9375	0.281045752	0.81920904	0.758474576	0.857687421	0.626865672	1	1	1	1	1	1	0.75	0.680327869	0.780645161	0.797687861	0.719626168	0.67	0.671232877	0.56	0.96034298	0.959798995	0.764150943	0.725714286	0.626666667	0.685950413	0.97790449	0.962314939	0.927238806	0.961105425	0.806020067	0.655172414	0.952045134	0.955146636	0.850287908	0.82832618	0.795918367	0.873684211	0.917948718	0.948324022	0.927609428	0.943427621	1	1	1	1	1	0.81443299	0.768421053	0.830985915	0.970588235	0.587628866	0.777777778	0.795620438	0.769230769	0.788732394	0.736111111	1	1	1	1	1	0.820224719	0.802469136	0.813953488	0.813953488	0.822222222	0.820224719	0.80952381	0.802469136	0.836734694	0.827956989
HE4	1	1	1	1	1	1	1	0.695783133	0.965641953	0.916811092	0.40547588	0.844155844	0.479125249	0.57457847	0.965811966	0.988909427	0.89261745	0.631975867	0.834636872	0.542134831	0.641748942	0.323671498	0.965703971	0.885620915	0.087128713	0.842892768	0.48880597	0.577427822	0.285382831	0.978221416	0.919327731	0	0.809638554	0.467256637	0.644189383	0.302158273	0.976513098	0.858064516	0.652173913	0.831735889	0.475279107	0.570068027	1	1	1	1	1	1	0.857359636	0.946554149	0.871299871	0.926199262	0.9030837	0.91904048	0.921696574	0.992945326	0.663094728	0.661375661	0.885125184	0.884735202	0.951377634	0.935119887	0.745798961	0.698813056	0.577647823	0.681123503	0.864229765	0.965678627	0.64137931	0.734360834	0.70242915	0.702036442	0.887640449	0.917355372	0.911234397	0.819905213	0.86102719	0.904134212	1	1	1	1	1	0.929078014	0.950177936	0.981412639	0.996261682	0.939716312	0.930434783	0.927152318	0.929947461	0.934318555	0.924713584	1	1	1	1	1	0.992805755	0.99270073	0.992766727	0.992766727	0.992818671	0.992805755	0.992740472	0.99270073	0.992920354	0.992857143
HE5	1	1	1	1	1	1	1	0.787037037	0.926773455	0.762318841	0.768224299	0.126394052	0.436692506	0.543599258	0.824362606	0.997647059	0.675824176	0.777262181	0.200603318	0.583892617	0.635220126	0.88590604	0.926940639	0.621052632	0.771208226	0.105263158	0.435714286	0.543396226	0.86031746	0.965517241	0.669421488	0.809638554	0	0.452115813	0.621505376	0.893687708	0.945142857	0.567010309	0.805825243	0.247524752	0.520547945	0.622266402	1	1	1	1	1	1	0.648711944	0.653444676	0.658715596	0.690189329	0.639198218	0.618390805	0.679790026	0.832835821	0.901951452	0.904719101	0.659955257	0.63902439	0.631168831	0.64360587	0.933574482	0.913961039	0.842387146	0.90772042	0.68164794	0.638141809	0.882637629	0.888551165	0.727513228	0.70042796	0.65	0.726829268	0.816528926	0.871625675	0.848208011	0.864996521	1	1	1	1	1	0.903614458	0.903030303	0.960784314	0.99339934	0.843373494	0.889212828	0.903225806	0.887905605	0.877984085	0.873350923	1	1	1	1	1	0.888888889	0.917721519	0.912772586	0.887850467	0.883076923	0.864197531	0.893416928	0.930379747	0.843843844	0.853658537
HE6	1	1	1	1	1	1	1	0.661202186	0.930153322	0.860465116	0.444311377	0.560859189	0.121042831	0.485101311	0.911179173	0.989565217	0.807228916	0.674418605	0.516095535	0.206434316	0.583011583	0.504464286	0.930272109	0.776470588	0.432282004	0.503448276	0.059649123	0.486746988	0.486021505	0.955555556	0.812971342	0.467256637	0.452115813	0	0.568627451	0.509977827	0.955744681	0.74127907	0.68258427	0.517378352	0.104387292	0.531755915	1	1	1	1	1	1	0.727647868	0.738125802	0.692307692	0.752553916	0.722296395	0.719727891	0.806167401	0.911811024	0.711786756	0.723564356	0.716198126	0.76056338	0.786861314	0.732303732	0.794073631	0.747467438	0.569383945	0.723583769	0.697841727	0.743300423	0.651817716	0.689533861	0.547348485	0.538461538	0.692307692	0.733333333	0.790728477	0.740721912	0.75856065	0.80771445	1	1	1	1	1	0.924050633	0.926984127	0.98019802	0.99668325	0.908227848	0.925349922	0.916666667	0.921752739	0.908419498	0.905743741	1	1	1	1	1	0.942307692	0.957792208	0.954911433	0.942028986	0.9392	0.929487179	0.945072698	0.964285714	0.917851501	0.923566879
HE7	1	1	1	1	1	1	1	0.404682274	0.886639676	0.641509434	0.417910448	0.6	0.485179407	0.231527094	0.790909091	0.983263598	0.619047619	0.288590604	0.641509434	0.690273843	0.093023256	0.641468683	0.886944818	0.530364372	0.612403101	0.615560641	0.533239038	0.19395466	0.613682093	0.929443691	0.556521739	0.644189383	0.621505376	0.568627451	0	0.646055437	0.92722372	0.505882353	0.268817204	0.651567944	0.631046119	0.178378378	1	1	1	1	1	1	0.544217687	0.682080925	0.645631068	0.758928571	0.658227848	0.629139073	0.637096774	0.722772277	0.866869919	0.869024857	0.624203822	0.588447653	0.674603175	0.668604651	0.91127923	0.882453882	0.761499148	0.865758755	0.645885287	0.68115942	0.835526316	0.847908745	0.589085072	0.559859155	0.711815562	0.829875519	0.851439183	0.818774446	0.795348837	0.851226994	1	1	1	1	1	0.809045226	0.817258883	0.930635838	0.988235294	0.748743719	0.819047619	0.790794979	0.805825243	0.795081967	0.739837398	1	1	1	1	1	0.811518325	0.857923497	0.85106383	0.808510638	0.8125	0.811518325	0.817204301	0.879781421	0.82	0.815384615
HF1	1	1	1	1	1	1	1	0.495412844	0.974943052	0.902578797	0.391465677	0.900369004	0.526992288	0.650092081	0.8767507	0.992974239	0.907608696	0.696551724	0.88005997	0.588628763	0.675675676	0.03	0.975	0.911458333	0.255754476	0.898954704	0.547393365	0.644194757	0.044164038	0.988558352	0.874659401	0.302158273	0.893687708	0.509977827	0.646055437	0	0.974971559	0.903061224	0.634615385	0.876230661	0.514619883	0.633136095	1	1	1	1	1	1	0.819025522	0.954451346	0.839708561	0.924786325	0.876379691	0.936218679	0.890909091	0.982300885	0.719714964	0.735307313	0.871396896	0.874396135	0.948586118	0.95010395	0.806239737	0.760940032	0.583524027	0.739170087	0.817843866	0.975786925	0.643934822	0.753286148	0.7	0.687943262	0.962809917	0.951534733	0.937397035	0.856373429	0.885073581	0.926439972	1	1	1	1	1	0.952380952	0.964071856	0.987096774	0.986970684	0.946428571	0.959654179	0.957446809	0.959183673	0.958005249	0.953002611	1	1	1	1	1	0.993902439	0.99375	0.993846154	0.993846154	0.993920973	0.993902439	0.99380805	0.99375	0.994065282	0.993975904
HF2	1	1	1	1	1	1	1	0.935119887	0.026933102	0.926045016	0.963054187	0.938650307	0.948620362	0.933823529	0.882539683	0.022182786	0.937597504	0.968926554	0.944680851	0.750850919	0.928381963	0.96792669	0.025151778	0.923896499	0.967772512	0.938606848	0.953446732	0.933085502	0.953693495	0.02005231	0.9375	0.976513098	0.945142857	0.955744681	0.92722372	0.974971559	0	0.939849624	0.968069666	0.93902439	0.853733641	0.930769231	1	1	1	1	1	1	0.957386364	0.941798942	0.9513382	0.951048951	0.955922865	0.935393258	0.954407295	0.950980392	0.978132885	0.979216627	0.953038674	0.95342067	0.939577039	0.941644562	0.987341772	0.981028822	0.967171717	0.97891322	0.965474723	0.950437318	0.975129534	0.976899156	0.949661181	0.955010225	0.93659181	0.961883408	0.967720242	0.973251029	0.969411765	0.974329055	1	1	1	1	1	0.937602627	0.92092257	0.986277873	0.986206897	0.9408867	0.948387097	0.935285054	0.957792208	0.93883792	0.93902439	1	1	1	1	1	0.980033278	0.979763912	0.97993311	0.97993311	0.980066445	0.980033278	0.979865772	0.979763912	0.980327869	0.980165289
HF3	1	1	1	1	1	1	1	0.756756757	0.912650602	0.392592593	0.76	0.579268293	0.687943262	0.635258359	0.72027972	0.99375	0.220779221	0.665158371	0.695364238	0.83095723	0.528089888	0.896373057	0.912912913	0.117647059	0.816901408	0.616666667	0.717460317	0.6	0.833333333	0.951515152	0.281045752	0.858064516	0.567010309	0.74127907	0.505882353	0.903061224	0.939849624	0	0.683168317	0.718309859	0.795566502	0.604095563	1	1	1	1	1	1	0.732718894	0.687732342	0.76119403	0.76819407	0.715481172	0.644444444	0.719298246	0.616	0.950290851	0.947394541	0.746835443	0.69	0.645714286	0.655430712	0.968915578	0.952972493	0.901549681	0.947448206	0.796296296	0.638190955	0.943173943	0.941043084	0.802197802	0.775967413	0.688888889	0.832098765	0.894	0.93136582	0.904369332	0.921760391	1	1	1	1	1	0.721311475	0.716666667	0.875	0.978494624	0.557377049	0.69924812	0.765432099	0.689922481	0.724550898	0.704142012	1	1	1	1	1	0.824561404	0.811320755	0.81981982	0.81981982	0.826086957	0.824561404	0.816513761	0.811320755	0.837398374	0.830508475
HF4	1	1	1	1	1	1	1	0.390243902	0.950581395	0.735849057	0.35243553	0.846590909	0.615646259	0.40509915	0.904191617	0.981927711	0.741573034	0.159183673	0.828092243	0.775347913	0.333333333	0.643902439	0.950724638	0.721649485	0.621621622	0.84375	0.654434251	0.395348837	0.644144144	0.964912281	0.81920904	0.652173913	0.805825243	0.68258427	0.268817204	0.634615385	0.968069666	0.683168317	0	0.823416507	0.729665072	0.38170347	1	1	1	1	1	1	0.626556017	0.883959044	0.749303621	0.883544304	0.779467681	0.807228916	0.774358974	1	0.892428198	0.898970083	0.724137931	0.696428571	0.869346734	0.869415808	0.927845884	0.909569798	0.818019625	0.897154269	0.724137931	0.919282511	0.863667348	0.884787472	0.666666667	0.646601942	0.80952381	0.888111888	0.908203125	0.860904794	0.846402587	0.889688249	1	1	1	1	1	0.794520548	0.833333333	0.95	1	0.849315068	0.821656051	0.806451613	0.803921569	0.842931937	0.803108808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HF5	1	1	1	1	1	1	1	0.789279113	0.922685656	0.823788546	0.795031056	0.276661515	0.533408834	0.586419753	0.857142857	0.98540146	0.78858351	0.807407407	0.07253886	0.538816295	0.662116041	0.872340426	0.92284264	0.73006135	0.799323563	0.216494845	0.511064278	0.580594679	0.845737483	0.957099081	0.758474576	0.831735889	0.247524752	0.517378352	0.651567944	0.876230661	0.93902439	0.718309859	0.823416507	0	0.527851459	0.650326797	1	1	1	1	1	1	0.671641791	0.704081633	0.672782875	0.730434783	0.681003584	0.676470588	0.730612245	0.873873874	0.900452489	0.903170523	0.672661871	0.672447013	0.704453441	0.696245734	0.931428571	0.912164788	0.844632768	0.906005222	0.692068429	0.706563707	0.881952327	0.887662026	0.74566474	0.725925926	0.728353141	0.779005525	0.821076573	0.871621622	0.849869452	0.866752911	1	1	1	1	1	0.931972789	0.922551253	0.971084337	0.985436893	0.89569161	0.920353982	0.916839917	0.928571429	0.917695473	0.885245902	1	1	1	1	1	0.916859122	0.938823529	0.934883721	0.91627907	0.912442396	0.898383372	0.920560748	0.948235294	0.882352941	0.890160183
HF6	1	1	1	1	1	1	1	0.710280374	0.830508475	0.882964889	0.514077164	0.617463617	0.217028381	0.547248183	0.915057915	0.882260597	0.852791878	0.714619883	0.527138914	0.110148515	0.635960044	0.507843137	0.830769231	0.815920398	0.445923461	0.561368209	0.153481013	0.549266247	0.5028463	0.85316847	0.857687421	0.475279107	0.520547945	0.104387292	0.631046119	0.514619883	0.853733641	0.795566502	0.729665072	0.527851459	0	0.590075512	1	1	1	1	1	1	0.76733255	0.7696567	0.72755418	0.779104478	0.757159221	0.755529686	0.836024845	0.926218709	0.699009901	0.710834277	0.752009185	0.79616307	0.819530284	0.764705882	0.781818182	0.734764543	0.560947429	0.710677382	0.732776618	0.776710684	0.63986519	0.678065054	0.591525424	0.585777778	0.730088496	0.761308951	0.804161567	0.75131516	0.772604223	0.818377217	1	1	1	1	1	0.923280423	0.928381963	0.980821918	0.997248968	0.912698413	0.929595828	0.924623116	0.929226737	0.915106117	0.915317559	1	1	1	1	1	0.951871658	0.964864865	0.962416107	0.951677852	0.949265688	0.941176471	0.954239569	0.97027027	0.931307794	0.936170213
HF7	1	1	1	1	1	1	1	0.412462908	0.892169448	0.744	0.4	0.602708804	0.449189985	0.126126126	0.829457364	0.98410596	0.710037175	0.303571429	0.64084507	0.631722881	0.151832461	0.624750499	0.892445583	0.621052632	0.557833089	0.616842105	0.487248322	0.089655172	0.607476636	0.932903226	0.626865672	0.570068027	0.622266402	0.531755915	0.178378378	0.633136095	0.930769231	0.604095563	0.38170347	0.650326797	0.590075512	0	1	1	1	1	1	1	0.644578313	0.755208333	0.715555556	0.814814815	0.745762712	0.717647059	0.741258741	0.8	0.847457627	0.850704225	0.710227273	0.688888889	0.772413793	0.743455497	0.897488119	0.865766146	0.731023102	0.846227316	0.717539863	0.770700637	0.811296534	0.827567855	0.597579425	0.570957096	0.781818182	0.876923077	0.87264574	0.805343511	0.804216867	0.867362146	1	1	1	1	1	0.839662447	0.846808511	0.943127962	0.990384615	0.797468354	0.846774194	0.819494585	0.836065574	0.822695035	0.781690141	1	1	1	1	1	0.912663755	0.909502262	0.911504425	0.911504425	0.913043478	0.912663755	0.910714286	0.909502262	0.915966387	0.91416309
MA1	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MA2	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	0	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MA3	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	0	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MA4	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	0	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MA5	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	0	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MA6	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
MB1	1	1	1	1	1	1	1	0.69348659	0.957325747	0.816091954	0.752747253	0.662125341	0.671641791	0.516304348	0.868131868	0.994108984	0.813471503	0.653846154	0.666666667	0.806072478	0.555555556	0.816470588	0.957446809	0.722488038	0.831960461	0.674185464	0.704035874	0.537604457	0.816993464	0.982832618	0.75	0.857359636	0.648711944	0.727647868	0.544217687	0.819025522	0.957386364	0.732718894	0.626556017	0.671641791	0.76733255	0.644578313	1	1	1	1	1	1	0	0.363636364	0.336898396	0.575609756	0.338129496	0.242424242	0.228571429	0.682926829	0.882901554	0.88023369	0.152173913	0.09623431	0.252336449	0.366013072	0.910801394	0.888355866	0.776408451	0.873141724	0.305785124	0.394957983	0.829959514	0.85801442	0.565811966	0.516981132	0.365695793	0.608108108	0.772858518	0.828877005	0.795527157	0.799368088	1	1	1	1	1	0.900621118	0.849056604	0.911111111	0.984848485	0.776397516	0.720930233	0.572139303	0.702380952	0.572815534	0.509615385	1	1	1	1	1	0.673202614	0.765517241	0.706666667	0.706666667	0.662337662	0.673202614	0.72972973	0.765517241	0.580246914	0.630573248
MB2	1	1	1	1	1	1	1	0.878594249	0.917880795	0.778761062	0.918269231	0.646778043	0.73129771	0.657142857	0.854700855	0.989056088	0.755102041	0.891025641	0.698529412	0.796831314	0.69273743	0.94129979	0.918097754	0.67816092	0.930197269	0.662971175	0.72815534	0.654501217	0.909980431	0.952063915	0.680327869	0.946554149	0.653444676	0.738125802	0.682080925	0.954451346	0.941798942	0.687732342	0.883959044	0.704081633	0.7696567	0.755208333	1	1	1	1	1	1	0.363636364	0	0.215962441	0.341991342	0.206060606	0.189873418	0.458015267	0.666666667	0.844601413	0.841405508	0.243902439	0.367697595	0.353383459	0.039106145	0.887748118	0.850746269	0.696969697	0.828019324	0.224096386	0.24137931	0.782268579	0.814555256	0.434850863	0.381443299	0.279778393	0.391129032	0.682859762	0.780361757	0.742331288	0.743550835	1	1	1	1	1	0.915492958	0.867298578	0.935828877	0.989130435	0.821596244	0.776785714	0.644268775	0.763636364	0.643410853	0.607692308	1	1	1	1	1	0.756097561	0.827411168	0.782178218	0.782178218	0.747572816	0.756097561	0.8	0.827411168	0.682242991	0.722488038
MB3	1	1	1	1	1	1	1	0.730870712	0.951278928	0.828767123	0.809128631	0.674226804	0.678224688	0.613168724	0.833333333	0.989962359	0.839228296	0.756613757	0.672131148	0.759438104	0.650943396	0.826887661	0.951397327	0.773700306	0.851034483	0.678916828	0.679796696	0.631027254	0.819757366	0.973072215	0.780645161	0.871299871	0.658715596	0.692307692	0.645631068	0.839708561	0.9513382	0.76119403	0.749303621	0.672782875	0.72755418	0.715555556	1	1	1	1	1	1	0.336898396	0.215962441	0	0.253787879	0.242424242	0.32460733	0.5	0.794326241	0.78515625	0.790055249	0.248730964	0.378151261	0.5	0.212264151	0.837349398	0.798423891	0.636363636	0.780898876	0.043659044	0.438202247	0.70375	0.745965643	0.351351351	0.277777778	0.330210773	0.309608541	0.586862576	0.700123916	0.715328467	0.713872832	1	1	1	1	1	0.913978495	0.898916968	0.95256917	0.992	0.835125448	0.806896552	0.648902821	0.804195804	0.648148148	0.595092025	1	1	1	1	1	0.815498155	0.870722433	0.835820896	0.835820896	0.808823529	0.815498155	0.84962406	0.870722433	0.757142857	0.789090909
MB4	1	1	1	1	1	1	1	0.865060241	0.950991832	0.841463415	0.8996139	0.692898273	0.749009247	0.712643678	0.845238095	0.990396158	0.850144092	0.874396135	0.72755418	0.802553191	0.760869565	0.913644214	0.951105937	0.790633609	0.91064389	0.703435805	0.744835966	0.730994152	0.898858075	0.971864009	0.797687861	0.926199262	0.690189329	0.752553916	0.758928571	0.924786325	0.951048951	0.76819407	0.883544304	0.730434783	0.779104478	0.814814815	1	1	1	1	1	1	0.575609756	0.341991342	0.253787879	0	0.347222222	0.440191388	0.60989011	0.811320755	0.732245681	0.745471014	0.474418605	0.562340967	0.543478261	0.326086957	0.816137566	0.771965672	0.624806202	0.750460405	0.272727273	0.484693878	0.663814181	0.711803781	0.50202977	0.423976608	0.477321814	0.117056856	0.644593462	0.660606061	0.785206259	0.784507042	1	1	1	1	1	0.923809524	0.910543131	0.958477509	0.993006993	0.853968254	0.828220859	0.825352113	0.826086957	0.822222222	0.773480663	1	1	1	1	1	0.83713355	0.886287625	0.855263158	0.855263158	0.831168831	0.83713355	0.867549669	0.886287625	0.784810127	0.813504823
MB5	1	1	1	1	1	1	1	0.795053004	0.955862069	0.785714286	0.849740933	0.650385604	0.712	0.615384615	0.823529412	0.991440799	0.804651163	0.794326241	0.6692607	0.787152445	0.664634146	0.874720358	0.955983494	0.731601732	0.882352941	0.657957245	0.710564399	0.637795276	0.866943867	0.980582524	0.719626168	0.9030837	0.639198218	0.722296395	0.658227848	0.876379691	0.955922865	0.715481172	0.779467681	0.681003584	0.757159221	0.745762712	1	1	1	1	1	1	0.338129496	0.206060606	0.242424242	0.347222222	0	0.251748252	0.353448276	0.720430108	0.846311475	0.855491329	0.214765101	0.318007663	0.347457627	0.182926829	0.89626556	0.870410367	0.753022453	0.858823529	0.231168831	0.253846154	0.803191489	0.835616438	0.528830313	0.47826087	0.35347432	0.43776824	0.717247879	0.802371542	0.770800628	0.777950311	1	1	1	1	1	0.879781421	0.856353591	0.923566879	0.987012987	0.759562842	0.75257732	0.766816143	0.747368421	0.763157895	0.686956522	1	1	1	1	1	0.714285714	0.796407186	0.744186047	0.744186047	0.704545455	0.714285714	0.764705882	0.796407186	0.630434783	0.675977654
MB6	1	1	1	1	1	1	1	0.836431227	0.924050633	0.703296703	0.865591398	0.610666667	0.708674304	0.585106383	0.8	0.985443959	0.721393035	0.813432836	0.672	0.786200194	0.636942675	0.92147806	0.924263675	0.631336406	0.899186992	0.626535627	0.707533235	0.607629428	0.888650964	0.949080622	0.67	0.91904048	0.618390805	0.719727891	0.629139073	0.936218679	0.935393258	0.644444444	0.807228916	0.676470588	0.755529686	0.717647059	1	1	1	1	1	1	0.242424242	0.189873418	0.32460733	0.440191388	0.251748252	0	0.321100917	0.593023256	0.876160991	0.870029098	0.126760563	0.198380567	0.225225225	0.171974522	0.911744267	0.881790526	0.763986014	0.865745311	0.342318059	0.162601626	0.830872483	0.850911099	0.544688027	0.498141264	0.205047319	0.504424779	0.740210124	0.823138298	0.784126984	0.789638932	1	1	1	1	1	0.869822485	0.820359281	0.916083916	0.985714286	0.763313609	0.7	0.588516746	0.681818182	0.588785047	0.527777778	1	1	1	1	1	0.689440994	0.777777778	0.721518987	0.721518987	0.679012346	0.689440994	0.743589744	0.777777778	0.6	0.648484848
MC1	1	1	1	1	1	1	1	0.776744186	0.9543379	0.75	0.86163522	0.644859813	0.763016158	0.590062112	0.808823529	0.996840442	0.755102041	0.794392523	0.704035874	0.864615385	0.646153846	0.878627968	0.95447648	0.705521472	0.900178253	0.66572238	0.78812199	0.610223642	0.878934625	0.981623277	0.671232877	0.921696574	0.679790026	0.806167401	0.637096774	0.890909091	0.954407295	0.719298246	0.774358974	0.730612245	0.836024845	0.741258741	1	1	1	1	1	1	0.228571429	0.458015267	0.5	0.60989011	0.353448276	0.321100917	0	0.542372881	0.91507431	0.918326693	0.295652174	0.160621762	0.202380952	0.461538462	0.942634561	0.927013796	0.851376147	0.9168357	0.501577287	0.395833333	0.885793872	0.906659078	0.699443414	0.661157025	0.475285171	0.67839196	0.834843907	0.886896552	0.864013267	0.867213115	1	1	1	1	1	0.87826087	0.805309735	0.865168539	0.976744186	0.704347826	0.650793651	0.625806452	0.62295082	0.625	0.604938272	1	1	1	1	1	0.53271028	0.656565657	0.576923077	0.576923077	0.518518519	0.53271028	0.607843137	0.656565657	0.413793103	0.477477477
