	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HC4	1	1	1	1	1	1	1	0.509433962	0.951909477	0.764044944	0.375	0.822102426	0.611202636	0.333333333	0.913978495	0.982430454	0.746192893	0	0.810483871	0.742439024	0.212903226	0.706293706	0.952045134	0.737089202	0.633387889	0.82133995	0.637444279	0.327823691	0.701943844	0.965860597	0.836734694	0.631975867	0.777262181	0.674418605	0.288590604	0.696551724	0.968926554	0.665158371	0.159183673	0.807407407	0.714619883	0.303571429	1	1	1	1	1	1	0.653846154	0.891025641	0.756613757	0.874396135	0.794326241	0.813432836	0.794392523	1	0.882109617	0.886297376	0.742857143	0.711934156	0.880733945	0.877419355	0.917884482	0.899869395	0.796491228	0.885262117	0.738419619	0.925619835	0.850605653	0.867183177	0.701188455	0.68164794	0.801916933	0.892857143	0.898370086	0.848	0.858280255	0.888188976	1	1	1	1	1	0.793939394	0.852760736	0.956834532	1	0.842424242	0.818181818	0.814634146	0.802325581	0.838095238	0.820754717	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HC5	1	1	1	1	1	1	1	0.786720322	0.927582535	0.814634146	0.803333333	0.207296849	0.535160906	0.572847682	0.851674641	0.993442623	0.780885781	0.810483871	0	0.564041368	0.653136531	0.872919818	0.927736451	0.707865169	0.805456702	0.146456693	0.51160221	0.566386555	0.850359712	0.963636364	0.738317757	0.834636872	0.200603318	0.516095535	0.641509434	0.88005997	0.944680851	0.695364238	0.828092243	0.07253886	0.527138914	0.64084507	1	1	1	1	1	1	0.666666667	0.698529412	0.672131148	0.72755418	0.6692607	0.672	0.704035874	0.86	0.905817175	0.908296943	0.671875	0.642105263	0.693333333	0.6900369	0.9356085	0.916963227	0.851311953	0.911268855	0.689482471	0.696202532	0.888242142	0.893084846	0.751522533	0.72845953	0.728440367	0.782352941	0.82745098	0.877598152	0.856182796	0.872170439	1	1	1	1	1	0.944584383	0.934177215	0.967654987	0.994565217	0.889168766	0.931372549	0.926773455	0.930693069	0.923076923	0.882882883	1	1	1	1	1	0.907455013	0.93175853	0.92746114	0.906735751	0.902564103	0.88688946	0.911458333	0.942257218	0.869346734	0.877862595
HC6	1	1	1	1	1	1	1	0.744639376	0.730245232	0.904153355	0.581930912	0.669611307	0.312865497	0.579876434	0.896515312	0.774238227	0.878914405	0.742439024	0.564041368	0	0.671335201	0.583193277	0.730612245	0.848049281	0.520408163	0.618556701	0.253835425	0.59252669	0.576797386	0.75	0.882967607	0.542134831	0.583892617	0.206434316	0.690273843	0.588628763	0.750850919	0.83095723	0.775347913	0.538816295	0.110148515	0.631722881	1	1	1	1	1	1	0.806072478	0.796831314	0.759438104	0.802553191	0.787152445	0.786200194	0.864615385	0.939720129	0.686827458	0.698474636	0.782901057	0.830677291	0.850868233	0.792717087	0.768913343	0.722040549	0.556023146	0.698167445	0.764184397	0.804586241	0.629728527	0.66588785	0.635555556	0.632432432	0.763500931	0.786600496	0.817073171	0.762052189	0.786812097	0.828655835	1	1	1	1	1	0.928725702	0.932900433	0.984444444	0.991081382	0.928725702	0.933831377	0.929606625	0.942122186	0.927909372	0.930113052	1	1	1	1	1	0.960784314	0.971428571	0.969398907	0.960655738	0.958650707	0.952069717	0.962760131	0.975824176	0.94390507	0.947939262
HC7	1	1	1	1	1	1	1	0.459807074	0.888446215	0.660714286	0.45410628	0.616306954	0.506891271	0.172248804	0.801724138	0.983539095	0.637860082	0.212903226	0.653136531	0.671335201	0	0.671578947	0.888741722	0.544401544	0.628614916	0.630289532	0.541029207	0.144254279	0.642436149	0.930574099	0.595041322	0.641748942	0.635220126	0.583011583	0.093023256	0.675675676	0.928381963	0.528089888	0.333333333	0.662116041	0.635960044	0.151832461	1	1	1	1	1	1	0.555555556	0.69273743	0.650943396	0.760869565	0.664634146	0.636942675	0.646153846	0.738317757	0.853535354	0.856463878	0.63190184	0.598615917	0.681818182	0.674157303	0.902054795	0.87110542	0.741989882	0.852998066	0.651331719	0.6875	0.818537859	0.833783055	0.612598425	0.586206897	0.715877437	0.829959514	0.851239669	0.812419146	0.806451613	0.85106383	1	1	1	1	1	0.819905213	0.827751196	0.935135135	0.989010989	0.763033175	0.828828829	0.800796813	0.816513761	0.8046875	0.751937984	1	1	1	1	1	0.822660099	0.866666667	0.86	0.82	0.81372549	0.812807882	0.828282828	0.887179487	0.820754717	0.816425121
HD1	1	1	1	1	1	1	1	0.465116279	0.967889908	0.883381924	0.39587242	0.891791045	0.520725389	0.642458101	0.846153846	0.997641509	0.900552486	0.706293706	0.872919818	0.583193277	0.671578947	0	0.967963387	0.904761905	0.278350515	0.89084507	0.54176611	0.640151515	0.057324841	0.98156682	0.850415512	0.323671498	0.88590604	0.504464286	0.641468683	0.03	0.96792669	0.896373057	0.643902439	0.872340426	0.507843137	0.624750499	1	1	1	1	1	1	0.816470588	0.94129979	0.826887661	0.913644214	0.874720358	0.92147806	0.878627968	0.951951952	0.722725107	0.738191633	0.869662921	0.87254902	0.932114883	0.936842105	0.810463968	0.763606824	0.577011494	0.742112483	0.823308271	0.960687961	0.647486372	0.749492901	0.689655172	0.676680973	0.949790795	0.954323002	0.932119205	0.852252252	0.880365939	0.92195122	1	1	1	1	1	0.957575758	0.957317073	0.986842105	0.986710963	0.939393939	0.964809384	0.962162162	0.964391691	0.962666667	0.952254642	1	1	1	1	1	0.99378882	0.993630573	0.993730408	0.993730408	0.99380805	0.99378882	0.993690852	0.993630573	0.993957704	0.993865031
HD2	1	1	1	1	1	1	1	0.929577465	0.001736111	0.916532905	0.948339483	0.919117647	0.920152091	0.904528764	0.876386688	0.046099291	0.91588785	0.952045134	0.927736451	0.730612245	0.888741722	0.967963387	0	0.896656535	0.956439394	0.919811321	0.926654741	0.896039604	0.949339207	0.027874564	0.909516381	0.965703971	0.926940639	0.930272109	0.886944818	0.975	0.025151778	0.912912913	0.950724638	0.92284264	0.830769231	0.892445583	1	1	1	1	1	1	0.957446809	0.918097754	0.951397327	0.951105937	0.955983494	0.924263675	0.95447648	0.934747145	0.972257251	0.971234519	0.953103448	0.953488372	0.936651584	0.917880795	0.983730039	0.972283005	0.948264984	0.966761248	0.965517241	0.927219796	0.968928017	0.968916519	0.930367505	0.936670072	0.936675462	0.95968645	0.962365591	0.966066838	0.958847737	0.967346939	1	1	1	1	1	0.93442623	0.921052632	0.98630137	0.986230637	0.940983607	0.948470209	0.926153846	0.957860616	0.935877863	0.936073059	1	1	1	1	1	0.980066445	0.97979798	0.979966611	0.979966611	0.980099502	0.980066445	0.979899497	0.97979798	0.980360065	0.98019802
HD3	1	1	1	1	1	1	1	0.76635514	0.896341463	0.385826772	0.804416404	0.6	0.726618705	0.644859813	0.674074074	0.981012658	0.205479452	0.737089202	0.707865169	0.848049281	0.544401544	0.904761905	0.896656535	0	0.842857143	0.630681818	0.75562701	0.608974359	0.839805825	0.938650307	0.282758621	0.885620915	0.621052632	0.776470588	0.530364372	0.911458333	0.923896499	0.117647059	0.721649485	0.73006135	0.815920398	0.621052632	1	1	1	1	1	1	0.722488038	0.67816092	0.773700306	0.790633609	0.731601732	0.631336406	0.705521472	0.58974359	0.958576739	0.957149975	0.737991266	0.677083333	0.628742515	0.644787645	0.97591215	0.959928762	0.913682277	0.953323186	0.810126582	0.623036649	0.954006969	0.952164009	0.82527881	0.801242236	0.732824427	0.869017632	0.913306452	0.94478951	0.917012448	0.931091058	1	1	1	1	1	0.684210526	0.642857143	0.840909091	0.976470588	0.50877193	0.68	0.74025974	0.685950413	0.710691824	0.677018634	1	1	1	1	1	0.811320755	0.795918367	0.805825243	0.805825243	0.813084112	0.811320755	0.801980198	0.795918367	0.826086957	0.818181818
HD4	1	1	1	1	1	1	1	0.673202614	0.956356736	0.897142857	0.359440559	0.813370474	0.440251572	0.560500695	0.962476548	0.988349515	0.852941176	0.633387889	0.805456702	0.520408163	0.628614916	0.278350515	0.956439394	0.842857143	0	0.810666667	0.458823529	0.563380282	0.244444444	0.977142857	0.900552486	0.087128713	0.771208226	0.432282004	0.612403101	0.255754476	0.967772512	0.816901408	0.621621622	0.799323563	0.445923461	0.557833089	1	1	1	1	1	1	0.831960461	0.930197269	0.851034483	0.91064389	0.882352941	0.899186992	0.900178253	0.976699029	0.659798334	0.658212058	0.862838915	0.861016949	0.932743363	0.917808219	0.744799752	0.69667171	0.569603228	0.678345293	0.843137255	0.949066214	0.636661211	0.732590529	0.675213675	0.673098751	0.863636364	0.899371069	0.900719424	0.820249053	0.850280724	0.894867038	1	1	1	1	1	0.92578125	0.941176471	0.979423868	0.995859213	0.921875	0.923518164	0.913043478	0.926782274	0.917414722	0.903398927	1	1	1	1	1	0.976190476	0.975806452	0.976047904	0.976047904	0.976237624	0.976190476	0.975951904	0.975806452	0.976608187	0.976377953
HD5	1	1	1	1	1	1	1	0.792079208	0.919621749	0.760252366	0.810650888	0.082352941	0.522788204	0.53816047	0.809230769	0.99270073	0.720238095	0.82133995	0.146456693	0.618556701	0.630289532	0.89084507	0.919811321	0.630681818	0.810666667	0	0.497536946	0.529880478	0.863787375	0.959619952	0.665671642	0.842892768	0.105263158	0.503448276	0.615560641	0.898954704	0.938606848	0.616666667	0.84375	0.216494845	0.561368209	0.616842105	1	1	1	1	1	1	0.674185464	0.662971175	0.678916828	0.703435805	0.657957245	0.626535627	0.66572238	0.817589577	0.917993247	0.91989076	0.680190931	0.643979058	0.647058824	0.652561247	0.94490541	0.927750411	0.867083659	0.923183711	0.699604743	0.653543307	0.902769231	0.905447071	0.766483516	0.741456166	0.699115044	0.768313458	0.842639594	0.891397193	0.870967742	0.887863733	1	1	1	1	1	0.927631579	0.913907285	0.956834532	0.992727273	0.855263158	0.911111111	0.906976744	0.909967846	0.902578797	0.851851852	1	1	1	1	1	0.878378378	0.909722222	0.90443686	0.877133106	0.872053872	0.851351351	0.883161512	0.923611111	0.829508197	0.84
HD6	1	1	1	1	1	1	1	0.632047478	0.926523297	0.846678024	0.402831403	0.548717949	0.088582677	0.439180538	0.902521008	0.989010989	0.788778878	0.637444279	0.51160221	0.253835425	0.541029207	0.54176611	0.926654741	0.75562701	0.458823529	0.497536946	0	0.440414508	0.520642202	0.95323741	0.795041322	0.48880597	0.435714286	0.059649123	0.533239038	0.547393365	0.953446732	0.717460317	0.654434251	0.511064278	0.153481013	0.487248322	1	1	1	1	1	1	0.704035874	0.72815534	0.679796696	0.744835966	0.710564399	0.707533235	0.78812199	0.902946274	0.731967563	0.743007702	0.703918723	0.739263804	0.767145136	0.721835883	0.809929942	0.765705839	0.594577147	0.743315508	0.68556701	0.732718894	0.674934037	0.710288809	0.531062124	0.520678685	0.681440443	0.726954492	0.789256198	0.734939759	0.756156156	0.807027993	1	1	1	1	1	0.916376307	0.91958042	0.97810219	0.996330275	0.898954704	0.917948718	0.908794788	0.91394148	0.899838449	0.896940419	1	1	1	1	1	0.93639576	0.953405018	0.95026643	0.936056838	0.9329806	0.922261484	0.939393939	0.960573477	0.909565217	0.915789474
