	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HB4	0.609142978	0.66084788	0.573019542	0.281860951	0.528206201	0.710125332	0.420615433	0.566412702	0.604276965	0.632479975	0	0.469321457	0.548848624	0.59968611	0.58209906	0.66801026	0.568212896	0.241719078	0.606151262	0.562202085	0.413782253	0.548356259	0.573412389	0.583271962	0.380803339	0.495874284	0.538862535	0.44019264	0.602908396	0.811342292	0.575684591	0.432039594	0.568786982	0.518466132	0.413059428	0.61489899	0.680623888	0.571639431	0.342989085	0.546490261	0.563137788	0.402563568	0.438865293	0.621954069	0.531723862	0.678301085	0.557731733	0.331188147	0.638954314	0.510081246	0.551298085	0.562499337	0.434076027	0.670531181	0.492331208	0.392601008	0.536333565	0.853523526	0.832199304	0.852000422	0.869977619	0.848421504	0.84973704	0.858533975	0.845010616	0.83858079	0.821002899	0.839193825	0.8216101	0.842211162	0.816007756	0.781397389	0.765888457	0.858511032	0.841678232	0.829476916	0.847996516	0.671194631	0.692357269	0.727018564	0.702071687	0.837140234	0.837234741	0.713753658	0.683182211	0.752687016	0.757421727	0.903060956	0.896745468	0.775077284	0.765695724	0.769054594	0.754672897	0.854380342	0.848554283	0.841313706	0.848216216	0.840402436	0.841999151	0.825963061	0.821898598	0.810911809	0.829007797	0.844069671	0.843360434	0.837776085	0.831691018	0.83835986
HB5	0.619869031	0.740391134	0.475504931	0.423728814	0.204366537	0.56003341	0.373190686	0.570496363	0.554316678	0.459007778	0.469321457	0	0.407170563	0.582921962	0.636431465	0.668523384	0.41650388	0.469669069	0.498208641	0.649700284	0.390787049	0.52345916	0.527618252	0.454401436	0.460857726	0.307903345	0.438723182	0.493641618	0.481805104	0.773333333	0.413329129	0.517728271	0.310421639	0.438788389	0.406176022	0.543174016	0.53880103	0.429433243	0.41653058	0.59302203	0.593086783	0.431769444	0.379766291	0.548524692	0.50074932	0.48553704	0.417044481	0.475414263	0.555629093	0.477701728	0.45191351	0.479030884	0.425996917	0.559426219	0.398952381	0.401940878	0.43271539	0.750895004	0.747095525	0.748741589	0.759054191	0.72427895	0.7282474	0.738088844	0.739862525	0.716226334	0.712068129	0.721573481	0.711808604	0.724126934	0.714486562	0.664776169	0.652867452	0.737809413	0.717807191	0.73014038	0.746925389	0.551638637	0.583090693	0.620571557	0.592692456	0.69933861	0.724562078	0.605490866	0.579517746	0.67564068	0.679261672	0.827480432	0.819081573	0.706779389	0.693467337	0.685809004	0.678234447	0.737544913	0.735882127	0.704758856	0.730504152	0.712311291	0.737842876	0.694548922	0.70379596	0.698697679	0.706642363	0.739951144	0.726288295	0.719591458	0.729314757	0.747914635
HB6	0.580455197	0.748557767	0.454621893	0.525911206	0.379497908	0.331911352	0.454060834	0.52329176	0.618879485	0.491987012	0.548848624	0.407170563	0	0.646221478	0.617100372	0.678676163	0.398958279	0.518271903	0.503622808	0.60626703	0.467604008	0.443098502	0.551092612	0.403252118	0.46584564	0.444058885	0.187108886	0.571533305	0.501778604	0.813972802	0.454326419	0.498749218	0.386924581	0.200398281	0.468833552	0.522130414	0.665218074	0.40673944	0.461389049	0.606932773	0.441315046	0.534844931	0.397230382	0.50952639	0.516493467	0.406979036	0.428520863	0.533925716	0.518320152	0.555750686	0.543317224	0.442523612	0.449120694	0.54716901	0.474638827	0.495122327	0.426858185	0.794366647	0.787115446	0.794920534	0.799456261	0.778873995	0.780318892	0.78750736	0.784845749	0.771264123	0.763574843	0.778862137	0.776380536	0.775623709	0.773694703	0.704723761	0.677677461	0.788481897	0.770278208	0.778180023	0.78879146	0.614459126	0.635181603	0.662471332	0.644388398	0.755401901	0.776659189	0.652011923	0.628097835	0.698833396	0.701395651	0.853167492	0.848242219	0.718901626	0.706690816	0.70801364	0.703266932	0.786244857	0.785952082	0.758851675	0.780781917	0.762686725	0.787272438	0.753893259	0.762693574	0.758184246	0.754153534	0.785706383	0.777910318	0.771863946	0.781882046	0.797819516
HB7	0.6350396	0.715178339	0.639235508	0.518206109	0.649130161	0.814865006	0.61838936	0.59713767	0.648754097	0.643299402	0.59968611	0.582921962	0.646221478	0	0.605193147	0.648583421	0.639660535	0.522193623	0.535297212	0.567723646	0.586544021	0.617906952	0.671080067	0.658037644	0.682124745	0.570058997	0.682549634	0.407135362	0.591786797	0.761206448	0.67390848	0.735171261	0.531162298	0.664811509	0.568674825	0.655048774	0.754498243	0.652242828	0.521590491	0.456219743	0.652260569	0.483315056	0.634769813	0.680901125	0.649428853	0.759028507	0.539102591	0.684421193	0.693312799	0.660461341	0.687419712	0.495587453	0.671000354	0.582316246	0.584236661	0.63004464	0.517437256	0.836116298	0.791322092	0.833253981	0.865192544	0.835392715	0.833790544	0.852094171	0.822205671	0.820909868	0.784103751	0.81840649	0.788101238	0.82911426	0.779301409	0.761640372	0.796652402	0.859567246	0.827724573	0.773674086	0.739699864	0.828759014	0.802540913	0.763802477	0.761358018	0.820415674	0.811084919	0.802687713	0.793670544	0.827848101	0.830569106	0.910127785	0.889709398	0.863133714	0.867527754	0.86066624	0.841928788	0.846549232	0.831464975	0.829125386	0.831066804	0.819552065	0.815368253	0.790447982	0.793263773	0.768312911	0.831397527	0.810442301	0.816156897	0.757565843	0.733863185	0.805753839
HC1	0.371459401	0.547313362	0.577771841	0.620075496	0.641922791	0.783054792	0.67098831	0.349306158	0.5746635	0.718956337	0.58209906	0.636431465	0.617100372	0.605193147	0	0.570226813	0.631947788	0.532704302	0.572175956	0.453276505	0.619885848	0.413226713	0.523960647	0.564556691	0.725396573	0.572115899	0.651892694	0.604301991	0.43447978	0.79833263	0.662690382	0.778531313	0.612081475	0.594522592	0.569639145	0.48167175	0.737450093	0.603624859	0.618254604	0.429135961	0.536619119	0.636479254	0.627797333	0.570625804	0.486845795	0.768508852	0.559723134	0.618235477	0.573878849	0.499577543	0.717884716	0.543891647	0.637458314	0.661929104	0.587079134	0.682697241	0.548075996	0.840038988	0.813017881	0.836778523	0.855353754	0.835078534	0.834216131	0.847024879	0.829040445	0.824607046	0.80453428	0.823616035	0.80129061	0.829679504	0.795560428	0.84212583	0.857669251	0.84777694	0.831640689	0.810570966	0.830775198	0.856752622	0.840419718	0.846495473	0.84055788	0.82514562	0.821522017	0.831222258	0.829625968	0.865040739	0.867048206	0.912111468	0.884928552	0.888075484	0.891104128	0.888371085	0.870347361	0.84183923	0.832639236	0.829260381	0.832884097	0.824175824	0.826199601	0.834988459	0.809319941	0.796100158	0.835696822	0.828079261	0.83021678	0.819500581	0.810924612	0.82178544
HC2	0.433434392	0.554941906	0.62962963	0.695727392	0.706900168	0.847710441	0.703971497	0.466923159	0.584092447	0.759214533	0.66801026	0.668523384	0.678676163	0.648583421	0.570226813	0	0.700089667	0.609461235	0.466364881	0.436121034	0.640877294	0.62991371	0.589922804	0.644843049	0.776301334	0.590976175	0.702425763	0.604367913	0.590674403	0.720262254	0.723692502	0.817868339	0.633762518	0.667752443	0.624638671	0.418983802	0.73177261	0.691673275	0.675069733	0.472935973	0.518526294	0.706328056	0.698243584	0.604823847	0.521730738	0.820305107	0.648534691	0.664541299	0.600356196	0.513479525	0.771894857	0.645100543	0.685438045	0.695227148	0.602822709	0.715131477	0.606142566	0.884802221	0.85986029	0.88206024	0.901234568	0.883990969	0.883632058	0.895143547	0.877668352	0.878820261	0.857196705	0.87495296	0.856923583	0.879135468	0.852844255	0.878431157	0.893435959	0.899702823	0.881685315	0.860969037	0.875716704	0.896499731	0.879659556	0.877615121	0.873343961	0.875324957	0.866915355	0.879295624	0.873436908	0.896189296	0.896843475	0.936489485	0.92259848	0.921205966	0.924909207	0.919017094	0.903179422	0.889311546	0.881367989	0.881675728	0.881702358	0.875836431	0.873889214	0.881238423	0.861401136	0.849333405	0.884955278	0.874320577	0.876162001	0.867626998	0.858546839	0.868398268
HC3	0.594698589	0.752093802	0.167478298	0.555883282	0.405151978	0.50296044	0.487076907	0.542442953	0.497228323	0.195336815	0.568212896	0.41650388	0.398958279	0.639660535	0.631947788	0.700089667	0	0.546049852	0.526045798	0.65841558	0.515852885	0.445116404	0.431326311	0.2725538	0.589088616	0.471694116	0.494406219	0.571285405	0.437693871	0.818390925	0.199472435	0.638339195	0.359561329	0.466561098	0.493716338	0.49533503	0.513764371	0.205460533	0.546319797	0.615404962	0.564249934	0.562473751	0.451365774	0.348697309	0.510474483	0.501953656	0.476025207	0.554125122	0.339812587	0.513147851	0.552186211	0.44813726	0.501573593	0.412812054	0.35530299	0.513429658	0.43812496	0.713795323	0.711138707	0.717476864	0.704543014	0.643061632	0.664359113	0.693842338	0.692233633	0.664036077	0.657612812	0.66065255	0.664628436	0.679223135	0.680924981	0.618131564	0.614052288	0.66568915	0.649273803	0.67370399	0.68667691	0.634435366	0.618836265	0.594588501	0.582698044	0.645605442	0.682800441	0.606348185	0.609551784	0.682409012	0.683361491	0.826193131	0.791582096	0.72080782	0.713764422	0.696205249	0.685894692	0.700150732	0.695919938	0.646869812	0.689365875	0.647190652	0.703592814	0.64968627	0.669928245	0.664514741	0.679367129	0.699570815	0.686441604	0.649303652	0.672376385	0.727910391
HC4	0.529129833	0.664371414	0.507753982	0.275246693	0.505065883	0.697561485	0.430205109	0.488202878	0.568063373	0.617095095	0.241719078	0.469669069	0.518271903	0.522193623	0.532704302	0.609461235	0.546049852	0	0.52916996	0.502130121	0.403054239	0.479707749	0.551725939	0.520600042	0.415776241	0.423505198	0.494268516	0.354428384	0.530803667	0.800364678	0.52810052	0.487053408	0.513103448	0.455262743	0.358135129	0.540517697	0.670590708	0.524137201	0.27368532	0.475776267	0.488728916	0.412158627	0.394913916	0.535156583	0.451093457	0.656411378	0.491886187	0.396803466	0.554816424	0.451575165	0.54815112	0.445699068	0.427139448	0.618758891	0.397639587	0.398775034	0.437579335	0.815927312	0.779092914	0.813864745	0.843857021	0.809785241	0.810842854	0.829464861	0.803006076	0.792221687	0.766335993	0.795456992	0.76606839	0.802956189	0.753353527	0.764044944	0.756973841	0.83040221	0.801779588	0.78061674	0.809294697	0.654391546	0.664527264	0.706728069	0.670409511	0.793720514	0.7898495	0.683709996	0.652466125	0.726389638	0.734890035	0.890281966	0.875665318	0.756690216	0.748141811	0.750227309	0.732643703	0.821800236	0.809226386	0.803297935	0.805992835	0.796565109	0.798508258	0.789741416	0.770772397	0.752868018	0.799442299	0.79941134	0.799586327	0.789335664	0.778725825	0.792924094
HC5	0.401418591	0.735987045	0.470920712	0.578028909	0.469351277	0.706233006	0.544862366	0.412773253	0.651479568	0.610233733	0.606151262	0.498208641	0.503622808	0.535297212	0.572175956	0.466364881	0.526045798	0.52916996	0	0.452227957	0.449348732	0.521362957	0.591569919	0.482570748	0.65056386	0.33717366	0.552783311	0.368670386	0.489032396	0.789023372	0.544593029	0.713148245	0.315093237	0.518436578	0.494440639	0.383589906	0.707804852	0.514974821	0.562872672	0.343152782	0.506103978	0.545659349	0.527902562	0.452834421	0.460883847	0.666239196	0.320166168	0.531081763	0.449007416	0.415587486	0.629327392	0.386611905	0.488428148	0.48774124	0.479308883	0.588975428	0.347591657	0.797677033	0.782435345	0.795658405	0.809870854	0.78686934	0.788439743	0.797363465	0.787029624	0.778206365	0.760812051	0.782006361	0.772647318	0.781481284	0.768809924	0.759501351	0.771291918	0.801958072	0.780020398	0.769481057	0.786562996	0.776673866	0.76385438	0.758591597	0.751832865	0.770826545	0.775895264	0.762546816	0.757259947	0.796465438	0.798564281	0.870523416	0.859708971	0.822801093	0.823819214	0.814997322	0.801676723	0.792962665	0.789410151	0.773407439	0.785267736	0.77113951	0.785093101	0.768108252	0.762299973	0.751113974	0.784436926	0.782424917	0.776723903	0.765388193	0.768472626	0.792078133
HC6	0.39922295	0.571450915	0.59565607	0.586423963	0.649842602	0.783008037	0.672853098	0.377820554	0.594978905	0.756225701	0.562202085	0.649700284	0.60626703	0.567723646	0.453276505	0.436121034	0.65841558	0.502130121	0.452227957	0	0.597705384	0.519774011	0.630688935	0.580003167	0.74768361	0.553481013	0.621155053	0.576171465	0.534167776	0.805998126	0.702711223	0.796214973	0.565134404	0.567132794	0.577806994	0.464758988	0.808813488	0.649791038	0.613881721	0.369546891	0.340510451	0.619869281	0.65438855	0.524449135	0.506209316	0.805437916	0.561844689	0.633018569	0.53838766	0.531325206	0.73805048	0.554647078	0.616145627	0.605574104	0.573024437	0.695674642	0.529500692	0.865178142	0.833853102	0.862598655	0.886624953	0.86584185	0.865675661	0.87821511	0.857241783	0.857998289	0.833288431	0.855398354	0.837410861	0.859291142	0.830044867	0.874938075	0.891197049	0.882858963	0.86264531	0.840735237	0.855854871	0.892876388	0.873436826	0.873491609	0.868309588	0.857576414	0.848602953	0.871849637	0.867179459	0.895798501	0.897753175	0.937612351	0.915527422	0.924043862	0.927640017	0.920996365	0.90418332	0.872513805	0.863658764	0.862826667	0.863831172	0.854075885	0.853362441	0.870253667	0.838683484	0.825984463	0.868481698	0.854478854	0.856280259	0.847884248	0.83764425	0.846220489
