	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HC7	0.561227752	0.777012214	0.507231078	0.475105042	0.37395598	0.632896181	0.212219831	0.516462337	0.592824364	0.573615275	0.413782253	0.390787049	0.467604008	0.586544021	0.619885848	0.640877294	0.515852885	0.403054239	0.449348732	0.597705384	0	0.548321682	0.571510686	0.510042283	0.394444444	0.30189576	0.452364741	0.285857045	0.494027304	0.82223844	0.517070861	0.41648783	0.350037159	0.429654192	0.182287279	0.517390845	0.635675221	0.518644068	0.440999684	0.527245872	0.540669856	0.239346665	0.334049839	0.555202152	0.437578722	0.57781181	0.41584676	0.336936918	0.554253233	0.442557547	0.490049894	0.403155146	0.242526926	0.588157832	0.40379177	0.343407458	0.356323299	0.796448818	0.781749664	0.790623674	0.810559006	0.785856627	0.786885246	0.794946237	0.783253333	0.769177239	0.757229176	0.775611333	0.767671775	0.77708023	0.766832648	0.693121693	0.681438036	0.799564038	0.775906458	0.768128719	0.782251888	0.596762881	0.617896271	0.658986175	0.634170522	0.762222584	0.774431131	0.649612403	0.619915392	0.714007992	0.720154323	0.862791806	0.853536429	0.740145673	0.72743325	0.730800107	0.719560346	0.792699946	0.786842105	0.761414001	0.781749049	0.762702847	0.781533212	0.743796394	0.757940379	0.752387083	0.756814767	0.779049736	0.775163399	0.763831183	0.765255009	0.785632963
HD1	0.330058833	0.6767271	0.456246325	0.54427956	0.495797425	0.58962963	0.554539656	0.240997831	0.612610234	0.538354997	0.548356259	0.52345916	0.443098502	0.617906952	0.413226713	0.62991371	0.445116404	0.479707749	0.521362957	0.519774011	0.548321682	0	0.553709387	0.412879396	0.598641261	0.476200663	0.497825395	0.587940769	0.28147788	0.801836993	0.480980288	0.682709636	0.498682725	0.45554371	0.509838426	0.340435784	0.690152847	0.422134006	0.523255193	0.515225986	0.452928647	0.585961936	0.412762779	0.469399008	0.413930891	0.57550663	0.458547742	0.53107978	0.46746971	0.504755323	0.56882434	0.411509393	0.488111829	0.500888339	0.45953658	0.521857289	0.412592061	0.767809741	0.751308901	0.772036311	0.782068666	0.747708424	0.747719202	0.769293611	0.7551726	0.740158334	0.726403236	0.738200469	0.72239537	0.749744032	0.731754126	0.740184306	0.756808803	0.767043619	0.743330617	0.740577363	0.762403681	0.753607346	0.735921268	0.729421817	0.722721438	0.732270478	0.743358396	0.729773638	0.724820045	0.76070901	0.762607355	0.853634999	0.830285375	0.803613085	0.802168022	0.782391846	0.767821434	0.764232505	0.756457975	0.74058849	0.75235265	0.739060142	0.753982396	0.740293217	0.729833617	0.716241917	0.7350655	0.75782834	0.752883395	0.73876918	0.744820821	0.767109744
HD2	0.622721268	0.494642025	0.405914682	0.593312152	0.543654928	0.693232459	0.582196773	0.586155643	0.21458495	0.445070423	0.573412389	0.527618252	0.551092612	0.671080067	0.523960647	0.589922804	0.431326311	0.551725939	0.591569919	0.630688935	0.571510686	0.553709387	0	0.491797264	0.666926555	0.521889401	0.543320175	0.599937409	0.532124161	0.729086961	0.404111018	0.703488372	0.527083224	0.547343146	0.563991436	0.576872674	0.341225554	0.468774621	0.576888889	0.518518519	0.594013974	0.615907793	0.570532915	0.436250489	0.496306893	0.682227251	0.518986685	0.614827492	0.45977529	0.457323581	0.635164972	0.581407885	0.570192129	0.475885111	0.44830375	0.585755314	0.547196943	0.796892401	0.79491833	0.792374441	0.800371649	0.778917014	0.780890766	0.791993177	0.790681686	0.771125265	0.768066328	0.775807744	0.776761407	0.774835136	0.779232627	0.747473092	0.739083616	0.79122733	0.777056853	0.785328017	0.797147041	0.715416711	0.702161815	0.717707347	0.705050505	0.761136217	0.771917398	0.691899915	0.698123353	0.751566097	0.754875552	0.867716535	0.852020069	0.767829643	0.766341256	0.762576948	0.756097561	0.781787216	0.782270776	0.760139786	0.773601163	0.763849319	0.783686631	0.7528787	0.764522543	0.757778842	0.77217345	0.792552605	0.781953669	0.76651672	0.778191459	0.803698129
HD3	0.517853325	0.709005236	0.290660737	0.567801075	0.424837979	0.502961061	0.503080082	0.470382901	0.552672874	0.396296101	0.583271962	0.454401436	0.403252118	0.658037644	0.564556691	0.644843049	0.2725538	0.520600042	0.482570748	0.580003167	0.510042283	0.412879396	0.491797264	0	0.620229208	0.465014037	0.466036249	0.571933527	0.386755109	0.806640523	0.328478708	0.680894629	0.385729499	0.419566021	0.496144502	0.437009544	0.626120899	0.17182021	0.573090755	0.558071856	0.479457835	0.592102499	0.479110078	0.413974005	0.503955294	0.516499822	0.497771392	0.551362989	0.422476113	0.509348919	0.594178646	0.429542903	0.502525596	0.513934124	0.367075697	0.540559774	0.425678976	0.736051502	0.730193876	0.738589212	0.734665378	0.6772381	0.697933571	0.722036458	0.713781297	0.696826505	0.685680268	0.68575751	0.686484104	0.707759633	0.703550874	0.690589406	0.706689911	0.646845502	0.614656193	0.712548369	0.727003293	0.706121124	0.691624709	0.684032476	0.674439165	0.679385989	0.7100794	0.68220089	0.682154516	0.717659805	0.720141728	0.832740402	0.802863554	0.755452885	0.752240889	0.731250336	0.71751231	0.727223778	0.721812782	0.685682147	0.717741935	0.685328494	0.725454545	0.701946601	0.698782079	0.690055962	0.714608677	0.725818141	0.716533712	0.701327191	0.720045688	0.744710937
HD4	0.684863261	0.825649013	0.634187316	0.327343015	0.467265792	0.491502521	0.350284551	0.630584101	0.64799253	0.61230576	0.380803339	0.460857726	0.46584564	0.682124745	0.725396573	0.776301334	0.589088616	0.415776241	0.65056386	0.74768361	0.394444444	0.598641261	0.666926555	0.620229208	0	0.51310468	0.455274811	0.513680356	0.638060889	0.829401089	0.583067343	0.159681366	0.574762408	0.432804565	0.385670891	0.644584648	0.669107647	0.602254768	0.329976925	0.708798993	0.628575911	0.372526557	0.389320337	0.679412327	0.570798047	0.509502788	0.573826585	0.401450721	0.679597464	0.583124037	0.444476137	0.582634508	0.39849203	0.735952107	0.522802212	0.331395195	0.541111322	0.823829787	0.810462066	0.820972676	0.83342209	0.809202421	0.81293575	0.819270666	0.814767664	0.800990257	0.790106235	0.808656525	0.800316784	0.806434543	0.796318226	0.707442727	0.67595593	0.821373804	0.800170703	0.805369863	0.821436344	0.529108762	0.578551876	0.65310684	0.613429729	0.789002213	0.806077831	0.630563088	0.582308522	0.704403867	0.710024318	0.880271679	0.877317512	0.725045275	0.704007238	0.711715548	0.703459987	0.818278881	0.816159634	0.795846832	0.811797753	0.797110652	0.812831389	0.782617867	0.790103493	0.779342723	0.777137368	0.816544179	0.809663092	0.802326846	0.806791171	0.819054294
HD5	0.500453939	0.743055919	0.446813012	0.481972735	0.276479259	0.647397633	0.392530247	0.48470866	0.564463026	0.517764892	0.495874284	0.307903345	0.444058885	0.570058997	0.572115899	0.590976175	0.471694116	0.423505198	0.33717366	0.553481013	0.30189576	0.476200663	0.521889401	0.465014037	0.51310468	0	0.451186227	0.364431794	0.476137032	0.803050883	0.421341206	0.57532522	0.246369101	0.440763794	0.36910981	0.467500132	0.577760211	0.450607782	0.434398943	0.452738422	0.544209084	0.433398038	0.378247096	0.448319018	0.399487762	0.575613627	0.358963075	0.400576069	0.460693769	0.374700792	0.495112254	0.345700246	0.330888346	0.535801493	0.404033542	0.45722121	0.285952202	0.789140805	0.777274199	0.788254053	0.797477864	0.774910936	0.777009134	0.783609031	0.779998931	0.768025751	0.755717762	0.773819163	0.766486844	0.771047721	0.764144291	0.722918853	0.708158711	0.79102728	0.76777939	0.76395869	0.779788342	0.623553585	0.650259628	0.692108376	0.663152084	0.751250816	0.768192585	0.676703815	0.642441702	0.726687233	0.731510729	0.851671088	0.847131038	0.737856261	0.726512227	0.730315383	0.721084434	0.782559578	0.779768119	0.752327946	0.774511405	0.757065159	0.779131271	0.739943674	0.753055571	0.746895328	0.76240925	0.773309569	0.767236203	0.757163991	0.761054373	0.786785481
HD6	0.610084212	0.742333835	0.522375531	0.513442965	0.402568922	0.400020775	0.446937285	0.563796956	0.587164999	0.551082296	0.538862535	0.438723182	0.187108886	0.682549634	0.651892694	0.702425763	0.494406219	0.494268516	0.552783311	0.621155053	0.452364741	0.497825395	0.543320175	0.466036249	0.455274811	0.451186227	0	0.564930991	0.525520751	0.824541403	0.483894583	0.462226847	0.41465731	0.161243068	0.445543518	0.537434981	0.63587894	0.462384838	0.444159111	0.627307047	0.435350685	0.523859083	0.38313783	0.550606257	0.508818777	0.427772542	0.456514509	0.52666739	0.564089903	0.520039657	0.532714543	0.479139739	0.42627946	0.609171405	0.456616486	0.488185679	0.441615554	0.811088077	0.803745318	0.806230562	0.820978128	0.799272027	0.80245458	0.808709591	0.802915452	0.786443924	0.782317302	0.798083614	0.794127279	0.793453546	0.793878759	0.721781039	0.69895839	0.809871063	0.792419639	0.798171166	0.805251998	0.594101877	0.611564042	0.667206433	0.629139073	0.776639344	0.793544159	0.636981934	0.608580823	0.700316643	0.707311805	0.865621383	0.863532899	0.710118699	0.693788556	0.701595745	0.695073448	0.806134969	0.80408608	0.779959665	0.797678812	0.780010576	0.802257193	0.768432148	0.782063022	0.776723357	0.779958402	0.806294865	0.79864682	0.790405824	0.798789798	0.810668103
HD7	0.57523536	0.761683947	0.540698593	0.456146789	0.486472315	0.784395536	0.361416745	0.548038901	0.609078132	0.626483251	0.44019264	0.493641618	0.571533305	0.407135362	0.604301991	0.604367913	0.571285405	0.354428384	0.368670386	0.576171465	0.285857045	0.587940769	0.599937409	0.571933527	0.513680356	0.364431794	0.564930991	0	0.549688614	0.81694245	0.583385843	0.547439916	0.355481376	0.533886729	0.307405266	0.572521501	0.674557766	0.576209358	0.419925267	0.398904802	0.57898604	0.319329048	0.429249053	0.58334665	0.491963461	0.713091314	0.362246389	0.401258619	0.593498883	0.486777228	0.585318255	0.391020321	0.392044627	0.541818995	0.412644043	0.431817577	0.372346832	0.815939785	0.783342289	0.813456143	0.841590508	0.813998495	0.812799397	0.826992219	0.803673143	0.797713187	0.768994669	0.800548358	0.780067975	0.805852052	0.772891794	0.740799824	0.751639655	0.833474846	0.802987312	0.764725293	0.77087315	0.695530425	0.707390649	0.705984632	0.685998571	0.797443674	0.792418674	0.728068303	0.69544741	0.765428772	0.771667209	0.889992603	0.876029982	0.787673064	0.781029695	0.783653846	0.766096821	0.822555585	0.809466484	0.801620296	0.807752779	0.795326606	0.799074123	0.759830643	0.774844468	0.761203619	0.804831021	0.792789795	0.794618103	0.752496317	0.740498779	0.795238095
HE1	0.377562028	0.700084513	0.411111111	0.590730307	0.518473234	0.639612965	0.531580345	0.305478784	0.60348285	0.532073463	0.602908396	0.481805104	0.501778604	0.591786797	0.43447978	0.590674403	0.437693871	0.530803667	0.489032396	0.534167776	0.494027304	0.28147788	0.532124161	0.386755109	0.638060889	0.476137032	0.525520751	0.549688614	0	0.732869125	0.482191343	0.689072514	0.444766817	0.460501784	0.469466056	0.260218275	0.643427355	0.419534684	0.571291355	0.489189045	0.416272016	0.563043018	0.503567049	0.442049653	0.409182502	0.602595458	0.46562834	0.532031492	0.439681604	0.452248519	0.605691464	0.42431893	0.491533113	0.440344941	0.417537653	0.551650226	0.416150665	0.757145951	0.745163224	0.759849705	0.770623306	0.721498283	0.729446446	0.754979863	0.743359965	0.724844216	0.714582196	0.71221374	0.702018798	0.734302639	0.716054795	0.72619712	0.742027711	0.739546898	0.716364426	0.732842317	0.752492799	0.739690862	0.722449872	0.715391621	0.703402119	0.717299346	0.731745325	0.712538557	0.710959807	0.755302865	0.758155911	0.852022502	0.827924528	0.79876396	0.799707523	0.774418983	0.756750918	0.75081504	0.745198179	0.721744771	0.736361637	0.72265604	0.744118282	0.72147687	0.715649693	0.705473501	0.736338946	0.748325736	0.739936032	0.724454777	0.736131934	0.76167737
HE2	0.807917348	0.744047926	0.810662629	0.800779423	0.83234591	0.846980976	0.839011217	0.792099132	0.752128373	0.853975853	0.811342292	0.773333333	0.813972802	0.761206448	0.79833263	0.720262254	0.818390925	0.800364678	0.789023372	0.805998126	0.82223844	0.801836993	0.729086961	0.806640523	0.829401089	0.803050883	0.824541403	0.81694245	0.732869125	0	0.825335693	0.847125842	0.81967127	0.816392418	0.82382664	0.801181823	0.770667499	0.824783862	0.812633665	0.75347041	0.79588015	0.803283783	0.841686647	0.834507005	0.787834756	0.860358921	0.810771109	0.849339937	0.845643294	0.826513283	0.834434661	0.829924083	0.860495585	0.825469235	0.822275775	0.814886533	0.821509722	0.916838597	0.905324814	0.914590001	0.92383878	0.915512465	0.915835511	0.919914916	0.912740702	0.913374987	0.90032549	0.91007405	0.903323919	0.91295195	0.901397141	0.898305085	0.904398732	0.923530031	0.913735477	0.903340053	0.912027268	0.907897545	0.901249066	0.897772098	0.896193018	0.908554256	0.907060166	0.900581703	0.897977793	0.908988944	0.909286328	0.939987432	0.933828565	0.921703661	0.923361914	0.919640021	0.91217607	0.918024954	0.914882082	0.912740334	0.914477572	0.911263158	0.911722829	0.909152898	0.902975074	0.898869847	0.916140332	0.90956044	0.910584433	0.905065686	0.900185675	0.909919571
HE3	0.62494015	0.771744228	0.22400801	0.559855278	0.409796518	0.584872196	0.498585054	0.589310529	0.469047743	0.22308581	0.575684591	0.413329129	0.454326419	0.67390848	0.662690382	0.723692502	0.199472435	0.52810052	0.544593029	0.702711223	0.517070861	0.480980288	0.404111018	0.328478708	0.583067343	0.421341206	0.483894583	0.583385843	0.482191343	0.825335693	0	0.626045151	0.398378292	0.460430899	0.497029911	0.521346773	0.439596787	0.216857913	0.522450913	0.650832104	0.602309711	0.551142006	0.447832948	0.320383177	0.465600818	0.531635168	0.467002798	0.532782249	0.324639861	0.495201908	0.543382418	0.446408428	0.475849937	0.387886756	0.364957175	0.48955998	0.426699496	0.727161087	0.727077287	0.731243713	0.730902871	0.670072051	0.692166891	0.717030755	0.715989564	0.692603677	0.684170841	0.677152229	0.681873012	0.696181017	0.699140866	0.658431912	0.647167254	0.65	0.626666667	0.700863634	0.719372986	0.621997199	0.608081897	0.618962132	0.589486996	0.670097508	0.696460905	0.600341588	0.599653473	0.667367513	0.670174677	0.828559349	0.808475568	0.69480832	0.688461538	0.666167985	0.657593352	0.709769037	0.708828198	0.662330739	0.700775446	0.673536598	0.717068498	0.671483775	0.683891564	0.678466235	0.696576847	0.713524908	0.698330705	0.67810948	0.702028524	0.745399437
HE4	0.745408352	0.856365051	0.690452472	0.408045077	0.536109372	0.525173881	0.394514548	0.707433798	0.677977516	0.655867907	0.432039594	0.517728271	0.498749218	0.735171261	0.778531313	0.817868339	0.638339195	0.487053408	0.713148245	0.796214973	0.41648783	0.682709636	0.703488372	0.680894629	0.159681366	0.57532522	0.462226847	0.547439916	0.689072514	0.847125842	0.626045151	0	0.609912998	0.46042037	0.42109943	0.701338934	0.691688868	0.651496817	0.407531556	0.753615594	0.666771127	0.38239118	0.44588654	0.736406331	0.592673163	0.534520766	0.620299971	0.43745837	0.733711138	0.619044143	0.461852007	0.645134992	0.443995608	0.767630284	0.587743293	0.362511722	0.618277591	0.84435591	0.830606352	0.841331718	0.855554965	0.834813309	0.836002357	0.842687029	0.83577899	0.825287112	0.813320474	0.831166747	0.822624632	0.829731015	0.820029028	0.709813365	0.673264657	0.847803126	0.828032603	0.827195622	0.840804129	0.52909656	0.576222127	0.661737626	0.62435049	0.817740892	0.827520332	0.637744265	0.589657959	0.720890319	0.726497572	0.889683458	0.887107866	0.735411458	0.714073129	0.727408037	0.719857968	0.841019353	0.838079164	0.823061419	0.833414253	0.822851707	0.833730474	0.804076473	0.813640523	0.803399222	0.79704738	0.837655888	0.832422784	0.824311852	0.826052557	0.837820375
HE5	0.548373242	0.765905984	0.359034351	0.543492063	0.262105096	0.561976946	0.387023426	0.505474945	0.595923513	0.4165651	0.568786982	0.310421639	0.386924581	0.531162298	0.612081475	0.633762518	0.359561329	0.513103448	0.315093237	0.565134404	0.350037159	0.498682725	0.527083224	0.385729499	0.574762408	0.246369101	0.41465731	0.355481376	0.444766817	0.81967127	0.398378292	0.609912998	0	0.39699878	0.380543178	0.450953243	0.602140284	0.376307364	0.509720599	0.431684115	0.513851369	0.47083641	0.414818746	0.439650723	0.445110747	0.517830157	0.310213712	0.477835195	0.440811252	0.441233243	0.526593035	0.316082264	0.38607934	0.462557811	0.369748706	0.491554571	0.262071319	0.751481841	0.746243558	0.755503313	0.752697454	0.728659033	0.732449468	0.740953413	0.734981193	0.719432609	0.707979996	0.733854336	0.728012398	0.727165523	0.72534904	0.654299045	0.648462296	0.745567518	0.730004323	0.713904931	0.706252067	0.651970644	0.644896405	0.621162343	0.617340142	0.703318935	0.728038108	0.643953676	0.638976937	0.700620307	0.704101188	0.834782145	0.813908564	0.725663717	0.718583212	0.712914532	0.705085475	0.746890211	0.740552486	0.700758595	0.73727422	0.704315197	0.746052208	0.67724359	0.718296013	0.712463517	0.719398789	0.737776533	0.729308452	0.684773028	0.698990131	0.758863698
HE6	0.55075318	0.723238959	0.469183318	0.483552804	0.41735754	0.410960334	0.429110738	0.500962567	0.58472678	0.53593947	0.518466132	0.438788389	0.200398281	0.664811509	0.594522592	0.667752443	0.466561098	0.455262743	0.518436578	0.567132794	0.429654192	0.45554371	0.547343146	0.419566021	0.432804565	0.440763794	0.161243068	0.533886729	0.460501784	0.816392418	0.460430899	0.46042037	0.39699878	0	0.39904276	0.481387613	0.647948731	0.430823766	0.427503028	0.591105491	0.367226891	0.506353606	0.379107462	0.504525731	0.46727435	0.406408375	0.431850939	0.489935673	0.522020096	0.488088933	0.519802934	0.433890545	0.40966089	0.565484591	0.407680914	0.460431463	0.405641725	0.790373417	0.782856528	0.789161413	0.801465476	0.77792124	0.781632103	0.788303528	0.782856534	0.768794781	0.761168292	0.777586485	0.774742155	0.772864963	0.771530518	0.704927058	0.684296176	0.790015932	0.768336459	0.77621223	0.784250505	0.585902134	0.60032345	0.652427729	0.614237773	0.753170732	0.773593192	0.627790238	0.59510266	0.687038136	0.694311767	0.855964467	0.84955046	0.700208634	0.68626403	0.691756656	0.679688749	0.786499383	0.783144406	0.759014295	0.778199772	0.760204082	0.783481549	0.75096658	0.761463916	0.756202111	0.76512837	0.783081705	0.774549807	0.76978103	0.775882654	0.793133326
HE7	0.530351438	0.7569372	0.488924051	0.426682062	0.420607842	0.608834125	0.253081563	0.479270315	0.555810318	0.55542707	0.413059428	0.406176022	0.468833552	0.568674825	0.569639145	0.624638671	0.493716338	0.358135129	0.494440639	0.577806994	0.182287279	0.509838426	0.563991436	0.496144502	0.385670891	0.36910981	0.445543518	0.307405266	0.469466056	0.82382664	0.497029911	0.42109943	0.380543178	0.39904276	0	0.485632791	0.628796637	0.495395364	0.412961012	0.516208951	0.485840382	0.228604311	0.326054225	0.525724707	0.403458379	0.539330405	0.434422376	0.32884944	0.527414628	0.436451858	0.455641401	0.426713533	0.271866307	0.629529	0.355336826	0.327225145	0.376070907	0.787302266	0.76825004	0.7827239	0.803103264	0.777084118	0.777346697	0.786827119	0.774994671	0.760684675	0.743396226	0.767922497	0.758630152	0.768314726	0.755327204	0.68080185	0.673974387	0.791744143	0.767606389	0.756194252	0.77159414	0.589088361	0.609448309	0.644204852	0.619262521	0.754053028	0.764499121	0.638762754	0.608172556	0.70559033	0.710702069	0.859508067	0.850345929	0.738734882	0.724322301	0.727044227	0.715291107	0.784273761	0.778021256	0.752201057	0.773230569	0.754585571	0.771894311	0.735085303	0.747616984	0.741530875	0.744879357	0.768449109	0.765429411	0.753195674	0.75327039	0.776044206
HF1	0.263979472	0.734841345	0.443503124	0.602107482	0.5233177	0.661303003	0.568637776	0.263977657	0.640510567	0.562978207	0.61489899	0.543174016	0.522130414	0.655048774	0.48167175	0.418983802	0.49533503	0.540517697	0.383589906	0.464758988	0.517390845	0.340435784	0.576872674	0.437009544	0.644584648	0.467500132	0.537434981	0.572521501	0.260218275	0.801181823	0.521346773	0.701338934	0.450953243	0.481387613	0.485632791	0	0.697087993	0.465887354	0.575796044	0.492194528	0.407036236	0.586808108	0.524316897	0.438195991	0.391769819	0.642766073	0.500225506	0.518052565	0.417172686	0.365396667	0.626896505	0.438817302	0.499252178	0.509314478	0.464091803	0.58956961	0.414935865	0.779053547	0.771536592	0.782932539	0.784916201	0.753822878	0.75449037	0.772599784	0.762011771	0.746952366	0.737497294	0.75078353	0.743318455	0.755230572	0.748588184	0.749391727	0.763975155	0.772147848	0.753551442	0.75807165	0.772422878	0.762922869	0.7477936	0.739934589	0.734969054	0.739887855	0.757251572	0.744381872	0.738709326	0.771372846	0.774082756	0.859911847	0.835755503	0.807221148	0.80084814	0.786201342	0.777004603	0.775013463	0.768206821	0.743826003	0.763051771	0.743154524	0.770456733	0.752446809	0.745187602	0.735765795	0.756029285	0.771173683	0.763606557	0.748903028	0.765250171	0.785368507
HF2	0.757498405	0.737028548	0.499367889	0.656253276	0.582385321	0.708922146	0.637906648	0.721216007	0.395857187	0.459184209	0.680623888	0.53880103	0.665218074	0.754498243	0.737450093	0.73177261	0.513764371	0.670590708	0.707804852	0.808813488	0.635675221	0.690152847	0.341225554	0.626120899	0.669107647	0.577760211	0.63587894	0.674557766	0.643427355	0.770667499	0.439596787	0.691688868	0.602140284	0.647948731	0.628796637	0.697087993	0	0.560630088	0.631551252	0.677283496	0.750118067	0.654545455	0.626741679	0.526671779	0.61290861	0.681122502	0.605691269	0.689782707	0.53757324	0.572830386	0.614552493	0.697069305	0.622209967	0.537188676	0.49504783	0.598354067	0.633701646	0.788001708	0.792510611	0.783529163	0.787431869	0.765761892	0.768055107	0.779160854	0.781882052	0.75596987	0.756649079	0.764244249	0.765524801	0.763406605	0.76979583	0.749312507	0.735963581	0.772271449	0.762873354	0.780050588	0.79253112	0.667474291	0.6659665	0.719941678	0.692096295	0.743325933	0.761847301	0.677212826	0.663347045	0.751993964	0.75554471	0.852395795	0.843308175	0.750080171	0.740268062	0.745339956	0.740362087	0.768480823	0.769887296	0.73610445	0.760516045	0.748314129	0.775271334	0.735315906	0.752704457	0.748929336	0.773267645	0.784395275	0.771170779	0.753737043	0.769510394	0.800032462
HF3	0.555388901	0.752360965	0.262839559	0.552634358	0.385606421	0.525024946	0.508151744	0.514988429	0.532445749	0.31095014	0.571639431	0.429433243	0.40673944	0.652242828	0.603624859	0.691673275	0.205460533	0.524137201	0.514974821	0.649791038	0.518644068	0.422134006	0.468774621	0.17182021	0.602254768	0.450607782	0.462384838	0.576209358	0.419534684	0.824783862	0.216857913	0.651496817	0.376307364	0.430823766	0.495395364	0.465887354	0.560630088	0	0.523425906	0.604432897	0.5348026	0.563565565	0.433109146	0.383157014	0.489968848	0.502837756	0.471587267	0.543278951	0.374491829	0.491691951	0.569851227	0.415933565	0.477913667	0.458944085	0.341687517	0.500710467	0.393271338	0.712903226	0.708502463	0.716067811	0.712563247	0.648816936	0.668003903	0.697978597	0.690542569	0.664532099	0.658205879	0.65995235	0.66458667	0.680607552	0.681466971	0.670841184	0.667940598	0.629843408	0.590531651	0.693628809	0.707920792	0.657753431	0.638001194	0.642857143	0.631520656	0.650537341	0.683355438	0.62788198	0.629007634	0.687947883	0.691231904	0.830468792	0.798158261	0.72186928	0.717174977	0.701619411	0.687406136	0.703755666	0.69595414	0.655698105	0.688728702	0.654810932	0.700428725	0.682230039	0.672515257	0.662640207	0.698349336	0.704754987	0.692038112	0.672419479	0.695477962	0.726167766
HF4	0.576943585	0.71503186	0.552762227	0.233130124	0.438633377	0.590212788	0.465728242	0.53575829	0.585577124	0.598294647	0.342989085	0.41653058	0.461389049	0.521590491	0.618254604	0.675069733	0.546319797	0.27368532	0.562872672	0.613881721	0.440999684	0.523255193	0.576888889	0.573090755	0.329976925	0.434398943	0.444159111	0.419925267	0.571291355	0.812633665	0.522450913	0.407531556	0.509720599	0.427503028	0.412961012	0.575796044	0.631551252	0.523425906	0	0.546582212	0.562371758	0.41854374	0.340460752	0.566013756	0.487786128	0.55424902	0.495642439	0.39402229	0.584683563	0.490594879	0.435433806	0.471164205	0.4607568	0.620970194	0.40343384	0.409917964	0.44203313	0.816011988	0.780638905	0.811398854	0.843334762	0.81083266	0.811785021	0.829890252	0.803714377	0.793025872	0.76624919	0.799288563	0.778950261	0.805366269	0.77144714	0.728105008	0.711879144	0.835186466	0.802597681	0.785619762	0.808934633	0.581169357	0.603067452	0.672365313	0.631723986	0.798012706	0.790672093	0.649494463	0.598936286	0.710364206	0.718992986	0.89289687	0.879023662	0.735584137	0.717192269	0.728699191	0.712653497	0.823718982	0.810291859	0.806572268	0.805739754	0.795772773	0.795476368	0.785865874	0.774812886	0.756199678	0.784149485	0.802813769	0.80117724	0.786652079	0.779106858	0.797211523
HF5	0.458202187	0.534096253	0.558044914	0.55623324	0.589293227	0.790773093	0.634471886	0.423410869	0.531297311	0.719852554	0.546490261	0.59302203	0.606932773	0.456219743	0.429135961	0.472935973	0.615404962	0.475776267	0.343152782	0.369546891	0.527245872	0.515225986	0.518518519	0.558071856	0.708798993	0.452738422	0.627307047	0.398904802	0.489189045	0.75347041	0.650832104	0.753615594	0.431684115	0.591105491	0.516208951	0.492194528	0.677283496	0.604432897	0.546582212	0	0.493104537	0.537864892	0.618691983	0.519976065	0.426737196	0.758841505	0.399608525	0.58467358	0.53310835	0.475492025	0.679911481	0.45336677	0.571937039	0.516388499	0.511610646	0.626095361	0.431700416	0.839802966	0.807157486	0.840084948	0.862556955	0.837700852	0.836743508	0.851768125	0.831384484	0.829689175	0.802430462	0.827554597	0.80765424	0.832117177	0.801246275	0.824532362	0.84276627	0.854375133	0.834290931	0.813979147	0.833050337	0.840877174	0.820185866	0.821864626	0.815715467	0.830508475	0.820612997	0.819845857	0.813867622	0.843217819	0.843977804	0.909803922	0.892508664	0.873250764	0.876258839	0.869802829	0.851717323	0.845558601	0.835666063	0.834919277	0.835662624	0.828912326	0.827080109	0.83576623	0.807477345	0.793673809	0.841525651	0.829309002	0.829979824	0.820152154	0.808286317	0.821102909
